index,task_type,prompt,ori_image,target_image
306,tie,Get rid of the last train car.,ec7713b28cf54232adc6b3459aea70ff.png,
307,tie,Overlay the ground with small white flowers.,e85a978f557f474d8cee6563cc5b644e.png,
308,tie,"Remove the number ""892"" from the front of the bus.",64a2a5c5d1a347daaa67ce54ab725682.png,
309,tie,帮我换这个头像，蓝色色调，内容保持,cb566a018c8148b3b8c7ac3c53bc0cc8.png,
310,tie,Remove the person from the image.,906aaaf953cd41b9ae374849e38bca10.png,
311,tie,移除货运列车,6156a5a0918348ea80fa2416d88e96b1.png,
312,tie,Add a gazebo near the rocks,77103701589846c39731aa688813e2f9.png,
313,tie,Replace the tennis racquet with a table tennis paddle.,4f5bf53af97248b4aaff799bbfdbd912.png,
314,tie,Replace the broccoli with green pepper slices.,76c5d744f1ba45fcab51754cb70a5115.png,
315,tie,照片上的人物给我抠图换警察衣服,c9ff2f6413ce4d6b940a42421f832ad5.png,
316,tie,Get rid of the brown toy that is in front of the cup.,bfc05b8f356f464f9da0a8687d6af091.png,
317,tie,turn the grocery sign into a liquor store sign,490c579dbc824bd3a879ede004ba71c2.png,
318,tie,Turn the bag stand into a glass counter.,b07ba61f9bcb402f9bb34e4ed7b0617d.png,
319,tie,Make the boy have a shaved head.,a6795503282548f69885340e93f8f147.png,
320,tie,Make the room look like it is on fire.,f8d3efbbce1d441988cbe6231be81418.png,
321,tie,Add strawberries and bananas to the red bowl.,974bc937522047b28af80a58d5d70b68.png,
322,tie,将大象替换为长颈鹿,9b9e6c1b0b5f46cfbdedd7247575e031.png,
323,tie,把桌布颜色变成亮红色,1397eecdf4a24c5aaa64982546254909.png,
324,tie,Make the photo seem like it was taken on a movie set.,8cfebeb5c6cd4ec08a4cd0adee925b57.png,
325,tie,On the hot dog remove the chili. ,062434f05a3f47d488e6ff6707dbcc4b.png,
326,tie,在碗旁边添加一把勺子,e12ea390e8464fc6a4106afa589a7d65.png,
327,tie,turn the chair into a stairclimber,ae29b435305f4bdba446f619491ae11c.png,
328,tie,Delete the blue trolley from the image.,1ee9c4c996284bbeb49fd3278ff71db0.png,
329,tie,将图像风格替换为奇幻艺术,92fd3859f59a4c969d594322047dbc4d.png,
330,tie,Remove the eyeshadow and lipstick.,243e1a7da40840d898f1989b254b102d.png,
331,tie,Change the doll’s material to cotton fabric.,acab5585a1b04dbc8d9e9989e38ba882.png,
332,tie,Adjust the image style to a bubble-like aesthetic.,8a8ec07f87784979a0bb1349b6c380f3.png,
333,tie,删除肉饼,531ca831c484428280f335e40390fe79.png,
334,tie,Get rid of the shadow of the covered area.,0bf3a6576e4848d0afbdb7fa4bbc2d86.png,
335,tie,Delete the two engines from the airplane's wings.,baba2da5a39b49679299ca0369ff9056.png,
336,tie,Replace the green cup and its light-colored saucer on the table with a pen holder.,babc524ea15a4e108fdf100e7eceb414.png,
337,tie,Remove the striped black and white tie the man is wearing in the picture.,4a0e26a499484e4e8c86316331b157fa.png,
338,tie,把图片中手上拿的手机p掉,9d5c25c90732443ba17fa32ef4834276.png,
339,tie,Make the scene seem like it is an outdoor flea market,a987901d75b24e2181c2a9b12a4bff85.png,
340,tie,Get rid of the white polar bear walking on the rocky soil.,fd05e9591ae744b4979b3fafcbe1fe10.png,
341,tie,Change the sign into a stop sign.,0e71931c544c4c1da0ef8a202427da94.png,
342,tie,Add a person on an innertube floating on the river.,19bd34b60266431fbb44da5f56493940.png,
343,tie,Change the bowl into a styrofoam one.,1e92a5b916904b33bf54f073b1a0c5e7.png,
344,tie,Construct the elephant from bricks.,91b4ebc8117f47c99a1b8736a53e8504.png,
345,tie,Make the photo seem like it was taken in a hotel bathroom.,6b8c797e2e254247a8fdece6f9901188.png,
346,tie,Change the grass to sand,08247d18266747279c96242df1598dfe.png,
347,tie,Remove all the grass. ,7894668fb31b4929865576808e09e6be.png,
348,tie,表情伤感一点,24bc41da14a94f2d956d12865e72aff9.png,
349,tie,Make the person sit on the other side of the bench.,9db0739fa79a412fa68796f8f2fc460c.png,
350,tie,将她的头发染成棕色,d79c76629ee8421b8eed2c267f87de2c.png,
351,tie,Have it so that it's sunny outside. ,00477d219d8d480fa78380405b0e7480.png,
352,tie,remove the pizza,7531349946354e4d80a421f1f35cff4f.png,
353,tie,Get rid of the white and yellow snowboard stuck in the snow on the mountain.,63e17a281ac34e18a950b34dc559ee7c.png,
354,tie,让图片人物竖大拇指,2c69b68d2e4c4400b16e66e3da283adc.png,
355,tie,Make the picture seem like it was taken at night,9eeef6dae82b4ca39287e33ba4500798.png,
356,tie,Generate an image of the character smiling based on this photo.,d3774e136a514d2aa7f9b7ccdf9b8c8a.png,
357,tie,变成水墨画风格,095786a544e8494c97af5b1097df41c2.png,
358,tie,Make the picture seem like it was taken at night,12db395aaac24933ad77a299eff83f77.png,
359,tie,Add a black short-sleeved T-shirt to the upper body of the person.,2617b2d2c9e24b96b008cc91c1d72e97.png,
360,tie,把它画成q版的,4acf5e0fa76c4d1cafe8b7902f49dc51.png,
361,tie,"Add clothes to the person in the image, make their gaze slightly disdainful, and change their posture to a crossed-leg position.",ebfc1672cf944165b96e082ce2385dcf.png,
362,tie,Change the background to a spring park while keeping the person unchanged.,ffb7309ca7664e58817d6b89cb66297b.png,
363,tie,Add a pair of white shoes on the floor,aa8136bbaeae467795d4eca70775ef52.png,
364,tie,Remove the tv on the left from the wall. ,aebc8d607c2d487fb9f0f8f31c5c2dca.png,
365,tie,Add a Christmas wreath to the middle window.,a01812b81d9c4752807dda871101f56d.png,
366,tie,change the color of goat to yellow,ae0b62ea61f6460cb4f7f3bd2405fac2.png,
367,tie,Make it look like it is sunny weather,d6db443c7a2245c988b702d64245361a.png,
368,tie,Add a spatula picking up the food,dc4bb91cc0b8472f99f54f58a5066ed0.png,
369,tie,Add a luggage rack to the red car,807fe403191841f8b613b2f781cb1f02.png,
370,tie,Get rid of two of the three lights.,57603a864a5c487292ccd9a32d8bd0a0.png,
371,tie,Change the image so it appears to be easter.,df577c6648dc42808bfd50646eaaa841.png,
372,tie,Add a blue rug on the floor below the man.,16589af7115241dfb37d980f9677c0ef.png,
373,tie,帮我点燃一下蜡烛，增添一点烛火,1ab50f0546ce447f9902927c9bcce795.png,
374,tie,Add a cat on the counter top.,be0a9e9035334b8ab16e5b2938f153dd.png,
375,tie,删除窗户内的女孩。,ae574d5922cf42edb9b163ffb6d83c3d.png,
376,tie,Delete the roll of toilet paper hanging off the wall.,6312262d002742f19fa8c22fc0f032b6.png,
377,tie,Make the picture seem like it was taken during the fall,7b0b01a177a74f7abedf0b5c03485178.png,
378,tie,Turn all the stickers on the refrigerator upside down,2e1384a7cc8e468a83e40e68f07fdf58.png,
379,tie,Remove the sprinkles from the donut closest to the camera.,e167bfabbe224f02b20cc99badb0eb3d.png,
380,tie,add a tennis ball flying towards her,e07e6ea4945d4b988f2f9f060de22e1b.png,
381,tie,Add a blue BMW to the driveway.,5b89b68dc2c34687a067df8b31a5ad43.png,
382,tie,請把車子外面的那個女人移除掉，其它東西的要保留，再重新輸出給我圖片,c386cb827eb046eba5792f77b9fc3492.png,
383,tie,将孩子手中的水晶替换为发光的方形盒子,b5b62b139c984048aacc4331d0f16865.png,
384,tie,The people should all be standing on the left side of the yellow lines.,dc09c1b6b9af4f8e9f3243d137180318.png,
385,tie,include a table with a plate,cd95a90bb27d4265ba705c4c43b7aca7.png,
386,tie,Remove the hood above the stove.,2957dfe760574a72be9032de54e18fe3.png,
387,tie,Add a green stocking hat to the cat's head. ,1bfc3f1cf15a4ba0ad460acdf1911b82.png,
388,tie,Take the Apple logo off the mouse.,662b56684a714194baa0468cd66a9bc0.png,
389,tie,Add a knife to the center of the clock. ,951d93542508497695e067063ef1562a.png,
390,tie,Remove the music stand and sheet music from the stage.,8c60a8304a9a4859a9245c9577d7595f.png,
391,tie,Remove the people from the background,d81b303338f74bc2ae6993952942e19a.png,
392,tie,Remove the hat from the head of the person at the front right of hte photo.,46d4bd0680074ae6b4b5697c82863aa1.png,
393,tie,Add a baseball on the counter,0bd573f99c9242148acb6437498eb1a9.png,
394,tie,Make the photo seem like it was taken during a snow storm.,7b4ad21e8fa7499aacdecc2b4a6f6a69.png,
395,tie,Add a black hat on the man's head,ad18bd77771142deb25fe9ea454efcc5.png,
396,tie,Fill the room with a large family,cac2003fc665451590f49efb27492d99.png,
397,tie,convert the basket to a green bucket.,f8f39377ae8343afa4bf0cc7b66ceadb.png,
398,tie,将图像风格更改为气泡风格,f128c8c5f0be4276a5cce1b3fe585188.png,
399,tie,把脸p好看点,25f71f7fdca440aeaec7eaca28bd8269.png,
400,tie,turn the long grass into brown hay,bdf5b3aabd7f48bcb03b7ca0b18d9dfe.png,
401,tie,Add leaves to the trees.,c1a03bcb30a84dcaa8c999c6857d3bb3.png,
402,tie,Make my face look better.,73115ddf5eaf46b59157a74faa95dd7a.png,
403,tie,让她看起来更加年轻,703cbf59806f40e39952e8b74a3f08a4.png,
404,tie,Change the notebook into a document folder that says classified,3f6eefd3063f48179836ceed9ff3a6f5.png,
405,tie,在图中人物旁边添加一个中国年轻女性，笑容灿烂，清纯类型，形态自然，图中人物不做改动,46c6d36d57bb4cd8a5b1380483e2ec53.png,
406,tie,Adjust the background to a beach.,2fb9d8cbd4f6488ab17282d36511f31d.png,
407,tie,Create a rubber-textured turtle identical to this one.,98d29f4968ab4f6183103aa06c143cd9.png,
408,tie,Enhance this photo to make me look better.,74e0b77ee70c456e94309e37482848ee.png,
409,tie,Add a Darth Vader Poster to the wall.,e3a613ce3ab146f5b4a6c7691565d895.png,
410,tie,Change this image to a white background.,a859bacd88414852a6852bda0ec6fff8.png,
411,tie,Make this into a wedding cake,7489fec22f0f44c9ae43a51e27bb798a.png,
412,tie,Remove the cat from the top of the tv,7dc51bfe1fab405fbb63eca370b683a5.png,
413,tie,移除红色哑铃,ba035d0be5724c7bad5e49d891b6c0f5.png,
414,tie,Add a bowl of oatmeal to the table.,9d9552d83c80453c84ed2a35bd8bc9c5.png,
415,tie,Add a bowl of fruit to the table.,52911dfcedf14259af165b458014140b.png,
416,tie,Insert a doll on the ground in the background.,1dc08e85783f463799e329a664aceee5.png,
417,tie,将镜框的颜色改为橙色,eb7a74c6c2e543638b8142e6c6345c1f.png,
418,tie,Remove the picture from the back wall of the bathroom in the image..,1ec2dfefaa9c4768a958bb26542749f9.png,
419,tie,change the firetruck into an ambulance.,1824adb463ea46899b285237a2480d5d.png,
420,tie,把她P的更好看一些,c251e1abab4c4276881bd0396ba5836a.png,
421,tie,可以在这张图片上加上企鹅的眼睛吗,c3e2e28d08a94872ba71b6c8f2d0626c.png,
422,tie,Have it be rainy and wet.,730d542ef6074faa87237d1e46dcb06b.png,
423,tie,Get rid of the large trash can behind the young girl.,ed65b743eea94d72af05ac33b5972f93.png,
424,tie,Delete the tennis racket leaning on the bench,43896829aba94d918ae1548bb22994c3.png,
425,tie,Remove the bicycle between the two people.,8233c308929d43ddb6c2ec98bc23c036.png,
426,tie,turn the grass into the ocean,7dca8f4da753412bbe486737bfbddd8a.png,
427,tie,Replace the baby with a puppy.,8d6f2323dd3849d4ad73af40120447c0.png,
428,tie,删除白色护栏,4ffefad9f5674f8e9c97215828fc19dd.png,
429,tie,Add a green blanket on top of the dog.,8db2197462cb4fe480337fbbf09db7d6.png,
430,tie,Generate my adult appearance.,47f1e79b1a85471d9013b013459f9228.png,
431,tie,Remove the cheese from the hot dog. ,1d775485af1e4ba1ab435f0ebbc4844f.png,
432,tie,Make the photo seem like it was taken during a rain storm.,a0264e93cc354c49bba9a13de40c36b4.png,
433,tie,Adjust the image style to a watercolor effect.,95074075131e4877bf1ca7fb95c339e1.png,
434,tie,Get rid of the spots on the banana.,3a20ad1fa7194f51984b0371be33feda.png,
435,tie,渲染成皮克斯动画工作室的3D质感,38ed8dc7a66842d5ba9a3fd41e5f4939.png,
436,tie,change all the colorful sprinkles into grains of kitty litter,8a4be536ceb84bdbac4882705fda8afb.png,
437,tie,去掉他的胡子,461af439c9854276a0e7b9c3712831c7.png,
438,tie,以莫奈风格进行重绘,d02d4c2f979145d69c98da3bbb98b815.png,
439,tie,Add a lion next to the elephant.,f069230897c6411d8379a504026c3e98.png,
440,tie,Insert a white cat sleeping on the seat of the red motorcycle.,5455daad791a488ca9dc09e2330179fe.png,
441,tie,Add a pink toothbrush to the counter,aafceeb55d8448d184bb5dae3765a216.png,
442,tie,转化为日本动漫视觉风格,de5abfd288c744d8b81519954f0c3c93.png,
443,tie,Add bleachers behind the fence,3115506e96c049f0925a8e291a686790.png,
444,tie,Put a white plate on the counter. ,9ef6dffb5ce94f098180d07f5f0e3b84.png,
445,tie,Add a man walking next to the other man,426b60e6fc90461d8b90d72b70dc6ca1.png,
446,tie,make it lighter outside,860a35c293ea42b994d11690e3ea7e26.png,
447,tie,Remove the knife from the photo,6f63b388cb764c7fa70da468db6068fa.png,
448,tie,Remove the building from the image.,1a2ad142801b4380bac7d4e2c6645c82.png,
449,tie,Add a bottle of ketchup to the table.,e5ca5d5d5df74975b32f9366d5db6f81.png,
450,tie,Add a plane in the sky,8c7cd38dacf24442b5ab7b7c9d188941.png,
451,tie,添加一只围绕猫飞舞的蝴蝶,c63789e989c14fc5b0ca1d7bb5eb9b12.png,
452,tie,include a butterfly landing on its mane,c58c9fcc19d94cad95f3e7ba4642e1b6.png,
453,tie,Change the white bench to one made out of wood.,30a67581784e4a74885814055570657f.png,
454,tie,Add a hot pink mohawk to the mans head.,4194c0af52db492aaeea5af7f7570aeb.png,
455,tie,Add a small teddy bear in front of the book. ,1a7fa832024d48ee92b1f6b5b38b42cf.png,
456,tie,Add a bench bu the tracks ,0cb463ee5ab14319b6ed5d999d5592ec.png,
457,tie,Add a basketball going through the net.,0b624c6a27b8422080de620ed08ef901.png,
458,tie,Replace the ram in the very forefront with a medium-sized sheep dog.,f42c674c858b4955801ab08e5d46845b.png,
459,tie,Add a stop sign in the back of the photo,d5aa549121bb45919ab3e0b73857b4ba.png,
460,tie,Add a man riding a jetski near the surfer.,bddda1ab0f844d67989288e8445378a8.png,
461,tie,Get rid of the hat on the closest snowman.,ed4d12c0eb5640fb99f95cef31d360fc.png,
462,tie,采用宫崎骏动画电影的美术风格,8233ab7e129f4bbcae3821af8542541d.png,
463,tie,将背景调整为海滩,cba2ab69fc154c29b7d55391fb8e5a4c.png,
464,tie,Add a toy doll sitting on the blue chair.,b3d300c4053540af82f035a45c6c4df2.png,
465,tie,Change the hat’s material to paper.,b337de35437240d8934e6bc85cebf175.png,
466,tie,Add a cat jumping in the air in front of the womans hand with the mit on it.,29fad974d78441929815d0452488fd67.png,
467,tie,Remove the bag from under the cat.,31c8d99c0f5942769954a0a71ef9e4d7.png,
468,tie,Add a green hat next to the glove,a7a70ec01530442d95b6a5bac8dc42b4.png,
469,tie,Remove the bangs.,a1de9df9de264be6be1a64d478307fbb.png,
470,tie,Add a whale to the mural painting on the wall.,f52d4108e97a41ca8462dfc7bbbed4cd.png,
471,tie,Remove the sink faucet from the sink.,0c00312f75354d7cb4cc1c88bf2cc07f.png,
472,tie,Delete the small cake that has the number 30 written on it.,61072007c5a0452eba32967fadeeaee8.png,
473,tie,将蛋糕换成馅饼,7d0e5e5c3e444b0caba2994ed20a03ba.png,
474,tie,Add a trash can on the floor to the left of the toilet.,8863c46534ac49f9957d383068d0268c.png,
475,tie,把他P帅一点，眼神锐利一些,b1c00eda3a34448daaecc9bd6f872369.png,
476,tie,turn the poster in the back into a window.,4bcab552a51a468e93086cd1a77be44d.png,
477,tie,Make him lose 20 pounds,f1ec388fe5a4455ca4f191be1ed13c4a.png,
478,tie,Remove the house in the background of the image.,9c69764621ca47f89a82f968108d2fb9.png,
479,tie,turn the blue door into a tie dyed curtain,9df6f5bc96ed4f0db09d7896dbe14b1c.png,
480,tie,Add an elephant to the toothbrush ,3ebc6a699e4548f9a8ad7c6edac727aa.png,
481,tie,Modify the background to be filled with blooming flowers.,ce3497c4c4bf428384dde52fcefad749.png,
482,tie,Add a  brown dog jumping up to catch the frisbee,aeec29571dda4a01b3e9f293c79c4fd1.png,
483,tie,Remove the sign that says Library. ,b1a2c00ff30644bfb218939d394b4c50.png,
484,tie,移除黑色帽子,5231d23f3cef47eb98ecfbd30e5aac2c.png,
485,tie,Remove all the peanuts inside the white bowl. ,7e2858587a154eb98dc31149ecbb1eec.png,
486,tie,Remove the tv from the photo,d08fc0e55836427a887463a4a8c837d5.png,
487,tie,Change the bench into an old-style iron bench.,4d28879e392e4e42a034030fa21273a2.png,
488,tie,Make it so that the street is no longer wet and reflective.,130f336991f84d608b7cb923f75453e6.png,
489,tie,将背景调整为沙漠,7cf6d7eb31254006b45138f23140c814.png,
490,tie,Change the image so it appears to be foggy.,60774e42906744b1bb27f5f24704d792.png,
491,tie,Remove the helmet from the man's head.,85328cb0439d4b5fb1bf8a0d00cc4a8d.png,
492,tie,Remove the knife from the photo,cd35e4eaa7694adb9aa8b4b2eac1977b.png,
493,tie,Switch the image to a high-resolution Impressionist painting.,d8969190dd154e89b2eb32c0c9a0ad5d.png,
494,tie,擦除斑马,b838f4e6a3d34916ada7b131a03e1123.png,
495,tie,Add a cat on the bed.,cad41a590a5b45228a7d58a0778e0207.png,
496,tie,Add a can of shaving cream to the counter,41a62956ed3e4feabceb071ab0276527.png,
497,tie,Put a green bookbag to the left of the white laptop on the bed.,81388a628a6340b6b5bd366e87e66754.png,
498,tie,Remove mirror above the sink in the picture.,c38e3efcc4e5498e92ceddb781a8c259.png,
499,tie,add a person standing next to the bus,1d928dd9e909445a9882eaf7435909b0.png,
500,tie,"Retouch this photo, making the hair platinum blonde, improving the hairstyle at the ends, and making the fireworks more brilliant and colorful.",e3982b71c99c4753a269aa8ba8c279dd.png,
501,vttie,"Add the letter ""B"" to the baseball.",52c985f976574561acef2f8915ebf62a.png,
502,vttie,Add the word 'room' to the white wall to the right of the lamp.,fa70938c664c48d5aaab98298cfb185c.png,
503,vttie,Add the word 'bench' to the ground in front of the bench.,786c0f0b5cc54e23b2592bb3bbb55a7e.png,
504,vttie,Add the letter A in pink frosting to the top of the cupcakes.,2881819abdf44b2a921f3380edb722d1.png,
505,vttie,Remove the word 'park' from the image.,2bd91a5ef8f247d2a87c357f23cdfec5.png,
506,vttie,"Add a sign that says ""Free Rides"" where the man in blue shirt in the front is holding. ",a0232b7198624bcfa508aa5026cc8dc8.png,
507,vttie,Add the word 'grass' to the grass.,3ce92a0658c1446cb7c5064fcd7f9525.png,
508,vttie,Add the word 'cat' in white above the cat.,7449942552d64e3cb1316d9da63f0ba2.png,
509,vttie,将文本 'CLASSIC MOJITO' 替换为 'BABY MILKSHAKE',1bf77e1dbd4e4d78946bb08a2ba19857.png,
510,vttie,Replace the text 'duolingo' with 'greenowl',cdb0706754f041728fd94eb856dbd206.png,
511,vttie,Add the word 'brushes' above th right brush.,268e93573b08449883230f72a14963c5.png,
512,vttie,Change the title of the book to The Teddy Bears' Fall Picnic.,07da5d57295e400aa73a856086793b22.png,
513,vttie,"Add the letters ""CBS"" to the black band on the 4th surfboard.",ea6e642f121741cdb346b8f77ac9814b.png,
514,vttie,Change 'guiness' to 'rich'.,87146b2a2ab344099131168e9f2876f9.png,
515,vttie,"Add the word ""Elegance"" above the towels on the wall to the left.",8ff87b882b9740269c3d5a2ef0deadb4.png,
516,vttie,"Add the word ""PAWS"" to the lower center in small letters and italic.",6043355d8af54e5db8f66618511816a7.png,
517,vttie,Add the word 'cup' onto the white rim of the cup.,70855c2c2b1549199da2d30409f1f6fd.png,
518,vttie,帮我把诸暨两个字改为永康两个字,8cfaf5806dd34e0e9fd4d100897363ce.png,
519,vttie,Change the number from 27 to 72.,7bc2e5e2aadd4989b5aabcc6e10e17bc.png,
520,vttie,帮我把“致青春”改成“致少年”,d4ca4aaa0f9c4b878d51f841267c2044.png,
521,vttie,Replace the text 'Science' with 'Nature',2746d8b4c0694d61b7401c53e5d48fc3.png,
522,vttie,Remove 'copy chief from random house',15a74e41b3ee4951bb0203ad27d5be1a.png,
523,vttie,Add the word 'helmet' to the helmet.,344a74f8741449c2be92bd662aebc8f2.png,
524,vttie,Remove the words This is camping from the image.,780d1e428f4e4b8795d7c56b80559f9f.png,
525,vttie,"Add the word ""Office"" to the wall over the phone jack.",c3050eebcd2244ed9857e8c5ed5b4004.png,
526,vttie,"Remove the word ""Stop"" from the red sign.",de820ddbe03647f889cc13dd4da50b06.png,
527,vttie,将文本 'PIZZA' 替换为 'PLAZA',ecf86efce780400b92c2b5c5a1bdf21c.png,
528,vttie,Add the words surfs up to the surfboard.,a64d4bd46bdb437386a36c35711f767f.png,
529,vttie,Add the word 'nike' to the front of the white shirt the right girl's wearing.,fa246916ffc4434b880a09d01589bcb0.png,
530,vttie,Add the word 'happiness' across the bottom of the image.,c602f2f5aedb47e690df2447af8b7438.png,
531,vttie,Add the word japan to the ground.,574467554b9b4d509cf13533c4061377.png,
532,vttie,"Change ""这么任性"" to ""这么任意""",a42b471a4cfc481d88ee0f2803050f8b.png,
533,vttie,Change the text '10000' to '18000',a26655d1444742dd9c17008dbe8c1b82.png,
534,vttie,Add the word 'safari' in cursive to the bottom right of the image.,d965a80f1e6a4e19b5242e6a1fbf2137.png,
535,vttie,"Add the word ""EXIT"" over the doorway.",59ad23c40a974aa3967de18760a3427a.png,
536,vttie,"Add the words ""why the long face"" over the head of the horse on the left.",04a2fc66c00b41168b8d5bb7d4c48422.png,
537,vttie,"Add the phrase ""Wall Street Week"" to the lower right corner.",9f4b96ba0d9d48e8b4fe381a31d5ccdc.png,
538,vttie,Add the word 'knife' to the knife's handle.,9c7e3c26124848a4a5e15559468ab63a.png,
539,vttie,将文本 'SUMMER' 替换为 'WINTER',bb5d8ce4f8494c2982beedefd11037f8.png,
540,vttie,Add 'GAMES' in the center of the image,70177d55cbfc460d9bb1b1a3352b4cd1.png,
541,vttie,Take the words off the side of the car.,96af21bc333f4cd894300bc21cf21efc.png,
542,vttie,Remove the words from the bottle.,37980a791aac4b0b9c6c5c200b3bd69d.png,
543,vttie,"Change the quote to read ""Happy Hour 5:00"".",3afea8096f8747a09b6f76db2310da8c.png,
544,vttie,去掉“copy chief from random house”,aef36bb0837042c69d18ccb5e9130525.png,
545,vttie,Add the word sky to the sky to the right of the trees.,9bae360ce7924fc9bc6b1e69976b2c43.png,
546,vttie,"Modify this image directly, do not generate a new one. Add the four characters ""彷徨之刃"" on the left side.",80405b3bff4942a79041cfeb1a2fe4e4.png,
547,vttie,Get rid of the time stamp at the bottom right.,cd2369773e324a49904674a523e3491c.png,
548,vttie,"Add the phrase ""CAT REMOTE"" in small letters.",5e4d0e958d484410b52c93cf9a2ebecf.png,
549,vttie,Replace the text 'Ziel' with 'Porte',19eced5e0b6045ac806516d06f2999b9.png,
550,vttie,Change the 911 on the ambulance to 411.,d259fad307364fb1b1dca139f185d110.png,
551,vttie,Add the word 'dawn' to the sky.,e5a525e60cf64d17bce331cd35073179.png,
552,vttie,Add the word 'rose' to the rose vase.,125857d27c8942118bd9958f75e70e8e.png,
553,vttie,Add the word 'fork' to the right side of the fork onto the white plalte.[,7e9f26871cd9463595fea9b2cd52d70f.png,
554,vttie,Add the word 'surfboarding' in white to the sky.,7d9cfe6c899545b1a2e8f844bbdaf2e7.png,
555,vttie,Add the word 'bikes' to the floro.,6103bf906e8445e881aa2c29c88fa152.png,
556,vttie,Change 'donuts' to 'bagels'.,48b3ebb8ad194f15aa48fff5fd509306.png,
557,vttie,Add the word 'lamp' to the lampshade.,867e3aca66874958968ee06b6b31598d.png,
558,vttie,"Add the phrase ""Nite Nite"" to the wall behind the bed.",82a2dceb952244d2a7cf0b88f18a419c.png,
559,vttie,Add the word 'peace' in blue to the center of the white shirt above the existing graphic.,19b2cd57a3b34e4c9d9ee7ecce61473a.png,
560,vttie,Add the word 'wtf' to the top of the image.,cbf2ec0310394b7aae63066eb9994ac2.png,
561,vttie,Add the word 'cow' above the cow.,794550fcf532459c825b52e6be517f4d.png,
562,vttie,Change the text '23' to '45',0f604667c4c04ec1a3e4b0d03b4e5bb1.png,
563,vttie,去掉文字,e8b56b7fea8b469db65d549973f4836a.png,
564,vttie,Add the word 'dog' below the dog.,07b45b496b39409389111b3cbaab530b.png,
565,vttie,Add the word crazy above the figurine.,ee642e1e212d446aa9e466883a7caaad.png,
566,vttie,Add the word 'ceiling' to the ceiling above the left person.,8967f5b2af924a5a9a3f21ecc293f0ba.png,
567,vttie,Replace the text 'WOOD' with 'LAND',a128dc30c8244d6f8d084ab608924043.png,
568,vttie,Remove the text from the image,bf13eb7364a84d369c0a35eb5a505cf1.png,
569,vttie,Change the text 'ESTATE TACHEN' to 'Timeless Fashion',1f9e3c0e19734929a57fc09f564264e1.png,
570,vttie,Add the word 'sandwich' below the sandwich.,830b01569c8f4283907dcc7856cc9c68.png,
571,vttie,Delete the yellow watermark.,a0acfee6718448e5b99367c1558149b5.png,
572,vttie,Add the word 'oven' to the bottommost door of the stove.,b8a2e71cd03d4157b0dd5b1ac931b5e5.png,
573,vttie,Add the word 'bears above the group of bears to the left.,5279791d36ae4f9c8bcb3852b02ae22a.png,
574,vttie,Add the word 'oven' to the door below the stove.,320d3f44f9c140f4995a0869a041b4a8.png,
575,vttie,Replace the text 'NATURE' with 'SCIENCE',db6f8d05b99b4e189be0521b3502aa10.png,
576,vttie,"Add the word ""SAMSONITE"" to the black suitcase.",31d2ce8078a84871bb2a4bbf6be84cfa.png,
577,vttie,"Write the word ""moo"" with tree branches.",b34e989570954ff49bb6313d782717ed.png,
578,vttie,将文本 'FAIRGROUNDS' 更改为 'PARKWAY',16669b635bf249f9aee4b3dce548e2ff.png,
579,vttie,Add the word 'couch' in gold across the back of the couch.,3986aca39b914e988deee7aa6e39d37d.png,
580,vttie,"Add the phrase ""A GOOD MEAL"" on the lower left corner.",bc8822774da04f7aa66b40713a6c07bc.png,
581,vttie,将文本 'TOFEL' 替换为 'IELTS',fe307079f2db4069b5354a6c193af652.png,
582,vttie,黑板上写上“SMILE”,6ac3ab302b7144cda925d4b86918338e.png,
583,vttie,Change the words on the stop sign to think in green letters.,ce72d8a6dd04459db83ae1ce613f4281.png,
584,vttie,"Add an ""S"" to the left hand shaker.",97879bc3dd834274be0b1313185451e5.png,
585,vttie,Add the word 'tennis' to the top right of the image.,fb18c4c10afe463bb186e45b1f22c071.png,
586,vttie,Add the word 'animals' to the top of the image.,76bad7968d8a4a04be952bbdf3eded27.png,
587,vttie,Add the word' kitchen' to the white wall above the stove.,8ef69e39e1ff4c34a7b418faa25363d9.png,
588,vttie,Add the word 'bus' to the ridge of the top platform of the bus stop.,98352873c9ce41748ec9193d93d3e134.png,
589,vttie,Add the word lights above the string of lights.,dce2600a3a6b41c0bc97d6c4f6a28b10.png,
590,vttie,Add the letters of the alphabet to the wall at the border of the ceiling.,bad6a2a910fc40bda55ba712dca40a1d.png,
591,vttie,把“古堡惊魂”删除,7e7523a5d3fc456490663e7a7cf02eec.png,
592,vttie,Add the word 'beach' to the sky.,d4559a502b764f6395835545bad92bfa.png,
593,vttie,Add the word 'ceiling' to the ceiling.,7530dd40e40e48efa1f993db91ab304f.png,
594,vttie,"Change ""36-6"" to ""24-7""",1129a9c0bd4341bc93b524179e3f46dd.png,
595,vttie,Add the word 'dog' to the top left of the image.,c774aab5acdb49ce9798e9176a1f885d.png,
596,vttie,将图片中的文本去掉,09bd89402d0f433a99cfd10302571670.png,
597,vttie,Add the word 'supplies' across the top of the image.,d69f01832e104e47a03d59c870fa4608.png,
598,vttie,"Add the word ""I WAS HERE"" to the sand and make it look like it was drawn in the sand.",14047c8c8ae143c0bed4a5d5083f436b.png,
599,vttie,Add the word 'pot' in white to the black pot.,b3ec38e046fc408a90d36bb841f81839.png,
